Date,Close
1-Dec-21,310.6
2-Dec-21,310.39
3-Dec-21,306.84
6-Dec-21,317.87
7-Dec-21,322.81
8-Dec-21,330.56
9-Dec-21,329.82
10-Dec-21,329.75
13-Dec-21,334.49
14-Dec-21,333.74
15-Dec-21,341.66
16-Dec-21,334.9
17-Dec-21,333.79
20-Dec-21,325.45
21-Dec-21,334.2
22-Dec-21,330.45
23-Dec-21,335.24
27-Dec-21,346.18
28-Dec-21,346.22
29-Dec-21,342.94
30-Dec-21,344.36
31-Dec-21,336.35
3-Jan-22,338.54
4-Jan-22,336.53
5-Jan-22,324.17
6-Jan-22,332.46
7-Jan-22,331.79
10-Jan-22,328.07
11-Jan-22,334.37
12-Jan-22,333.26
13-Jan-22,326.48
14-Jan-22,331.9
18-Jan-22,318.15
19-Jan-22,319.59
20-Jan-22,316.56
21-Jan-22,303.17
24-Jan-22,308.71
25-Jan-22,300.15
26-Jan-22,294.63
27-Jan-22,294.64
28-Jan-22,301.71
31-Jan-22,313.26
1-Feb-22,319
2-Feb-22,323
3-Feb-22,237.76
4-Feb-22,237.09
7-Feb-22,224.91
8-Feb-22,220.18
9-Feb-22,232
10-Feb-22,228.07
11-Feb-22,219.55
14-Feb-22,217.7
15-Feb-22,221
16-Feb-22,216.54
17-Feb-22,207.71
18-Feb-22,206.16
22-Feb-22,202.08
23-Feb-22,198.45
24-Feb-22,207.6
25-Feb-22,210.48
28-Feb-22,211.03
1-Mar-22,203.49
2-Mar-22,208.11
3-Mar-22,202.97
4-Mar-22,200.06
7-Mar-22,187.47
8-Mar-22,190.29
9-Mar-22,198.5
10-Mar-22,195.21
11-Mar-22,187.61
14-Mar-22,186.63
15-Mar-22,192.03
16-Mar-22,203.63
17-Mar-22,207.84
18-Mar-22,216.49
21-Mar-22,211.49
22-Mar-22,216.65
23-Mar-22,213.46
24-Mar-22,219.57
25-Mar-22,221.82
28-Mar-22,223.59
29-Mar-22,229.86
30-Mar-22,227.85
31-Mar-22,222.36
1-Apr-22,224.85
4-Apr-22,233.89
5-Apr-22,231.84
6-Apr-22,223.3
7-Apr-22,222.95
8-Apr-22,222.33
11-Apr-22,216.46
12-Apr-22,214.14
